state_o,state_d,pop_flows
09,18,2183.2
09,19,1241.2
09,20,1563.4
09,21,1026.0
09,22,1826.8
09,23,4098.2
09,24,4830.4
09,25,113427.4
09,26,2270.2
09,27,1112.2
09,28,607.8
09,29,1697.6
09,30,497.0
09,31,302.0
09,32,1691.4
09,33,9429.4
09,34,32804.8
09,35,326.6
09,36,210699.4
09,37,6761.6
09,38,38.6
09,39,3657.2
09,40,1679.4
09,41,411.4
09,42,12876.6
09,44,32217.2
09,45,5698.8
09,46,116.6
09,47,3078.6
09,48,8639.0
09,49,1369.2
09,50,11069.0
09,51,6298.4
09,53,638.8
09,54,657.6
09,55,767.6
09,56,282.8
09,72,4344.6
10,01,388.2
10,02,106.0
10,04,1024.6
10,05,696.8
10,06,3219.6
10,08,1094.6
10,09,865.6
10,11,2858.4
10,12,11695.4
10,13,1894.6
10,15,315.0
10,16,260.6
10,17,1513.2
10,18,688.4
10,19,943.8
10,20,333.2
10,21,348.2
10,22,428.2
10,23,120.0
10,24,66459.4
10,25,1411.0
10,26,1296.0
10,27,430.0
10,28,215.2
10,29,887.8
10,30,62.4
10,31,95.6
10,32,656.0
10,33,144.4
10,34,27841.6
10,35,564.4
10,36,6444.6
10,37,3185.2
10,38,29.5
10,39,3117.4
10,40,185.2
10,41,163.4
10,42,84466.2
10,44,203.4
10,45,1727.4
10,46,14.0
10,47,1639.6
10,48,3099.6
10,49,356.6
10,50,389.8
10,51,8276.8
10,53,517.4
10,54,1049.4
10,55,207.0
10,56,88.4
10,72,483.2
11,01,412.8
11,02,140.0
11,04,557.2
11,05,81.8
11,06,3952.8
11,08,678.6
11,09,450.4
11,10,1517.6
11,12,6298.0
11,13,1820.0
11,15,322.8
11,16,115.8
11,17,1594.4
11,18,489.6
11,19,306.8
11,20,290.8
11,21,428.6
11,22,1030.4
11,23,52.8
11,24,170624.8
11,25,1075.2
11,26,811.6
11,27,359.8
11,28,147.4
11,29,426.4
11,30,42.75
11,31,136.2
11,32,353.2
11,33,107.4
11,34,2178.8
11,35,111.4
11,36,6151.8
11,37,3094.6
11,38,24.0
11,39,880.0
11,40,302.0
11,41,305.4
11,42,4823.8
11,44,68.2
11,45,1180.2
11,46,91.6
11,47,797.2
11,48,3339.8
11,49,406.6
11,50,160.6
11,51,67460.2
11,53,559.0
11,54,988.0
11,55,332.0
11,56,59.0
11,72,494.0
12,01,93344.6
12,02,1262.0
12,04,22708.4
12,05,8549.0
12,06,64616.4
12,08,34860.4
12,09,14532.4
12,10,4775.0
12,11,11124.2
12,13,186081.4
12,15,5821.8
12,16,2482.0
12,17,60774.6
12,18,36724.4
12,19,14775.8
12,20,11243.2
12,21,26400.0
12,22,41928.6
12,23,5150.8
12,24,24031.0
12,25,27626.8
12,26,47469.2
12,27,18120.6
12,28,21238.8
12,29,25337.0
12,30,2433.8
12,31,5638.8
12,32,18504.2
12,33,6264.6
12,34,48302.0
12,35,5663.2
12,36,110939.6
12,37,73408.8
12,38,1792.6
12,39,55293.2
12,40,9670.6
12,41,5310.8
12,42,49008.4
12,44,4416.0
12,45,49413.4
12,46,1850.2
12,47,58447.0
12,48,99745.6
12,49,11224.2
12,50,3180.6
12,51,48824.2
12,53,9844.0
12,54,5970.8
12,55,20310.2
12,56,2977.4
12,72,32387.6
13,01,143175.6
13,02,824.6
13,04,10794.4
13,05,6817.2
13,06,34742.2
13,08,17475.8
13,09,3080.8
13,10,1322.0
13,11,4987.4
13,12,244077.8
13,15,3930.8
13,16,1767.4
13,17,19711.6
13,18,11398.2
13,19,6768.2
13,20,5729.0
13,21,19385.2
13,22,18550.4
13,23,871.0
13,24,8907.4
13,25,7200.6
13,26,8079.2
13,27,3879.0
13,28,18262.4
13,29,10734.6
13,30,1863.0
13,31,3024.4
13,32,8727.2
13,33,1031.8
13,34,10007.0
13,35,3061.6
13,36,27945.6
13,37,69503.2
13,38,570.8
13,39,17951.4
13,40,6192.6
13,41,2066.0
13,42,15254.0
13,44,703.0
13,45,114727.8
13,46,637.0
13,47,158772.6
13,48,56102.6
13,49,8956.2
13,50,559.2
13,51,26113.6
13,53,5191.2
13,54,2685.4
13,55,4859.4
13,56,2212.2
13,72,4815.8
15,01,479.0
15,02,2310.6
15,04,5113.2
15,05,397.0
15,06,37066.6
15,08,3096.2
15,09,321.8
15,10,84.25
15,11,315.2
15,12,3988.8
15,13,1176.6
15,16,1201.8
15,17,2701.4
15,18,810.6
15,19,1051.6
15,20,1065.4
15,21,313.8
15,22,679.8
15,23,152.0
15,24,942.4
15,25,1034.8
15,26,1824.6
15,27,2576.0
15,28,278.0
15,29,1348.0
15,30,943.0
15,31,462.0
15,32,11900.4
15,33,230.2
15,34,726.8
15,35,757.4
15,36,2203.4
15,37,1141.4
15,38,126.4
15,39,1467.4
15,40,625.6
15,41,4181.6
15,42,1388.6
15,44,30.0
15,45,700.2
15,46,270.4
15,47,904.6
15,48,5015.2
15,49,2555.8
15,50,41.5
15,51,2101.6
15,53,12123.8
15,54,156.2
15,55,1121.8
15,56,263.8
15,72,42.75
16,01,980.2
16,02,902.8
16,04,15764.2
16,05,755.2
16,06,24601.6
16,08,5445.6
16,09,514.4
16,10,83.6
16,11,332.2
16,12,6087.0
16,13,1869.2
16,15,6040.4
16,17,2136.4
16,18,884.4
16,19,2228.2
16,20,1416.6
16,21,374.4
16,22,670.8
16,23,110.2
16,24,508.0
16,25,532.6
16,26,967.6
16,27,2405.2
16,28,3570.2
16,29,2431.8
16,30,8236.8
16,31,1667.6
16,32,11441.8
16,33,54.75
16,34,602.0
16,35,2280.0
16,36,1437.4
16,37,1523.6
16,38,1539.2
16,39,1236.0
16,40,2152.2
16,41,29877.8
16,42,982.0
16,44,37.5
16,45,1774.0
16,46,701.0
16,47,1270.8
16,48,10044.4
16,49,52034.4
16,50,78.33333333333333
16,51,1023.0
16,53,76736.0
16,54,235.6
16,55,925.0
16,56,11000.2
16,72,267.8
17,01,10375.2
17,02,899.8
17,04,37962.2
17,05,10810.4
17,06,54696.2
17,08,18423.4
17,09,2425.8
17,10,889.2
17,11,5253.4
17,12,142724.4
17,13,25887.8
17,15,7114.6
17,16,1627.2
17,18,263643.4
17,19,124100.4
17,20,14759.0
17,21,38262.0
17,22,13549.4
17,23,884.6
17,24,6893.4
17,25,8543.0
17,26,49930.6
17,27,24698.4
17,28,7388.6
17,29,233831.6
17,30,2901.8
17,31,9290.0
17,32,19810.4
17,33,1164.8
17,34,8754.4
17,35,4759.2
17,36,23099.0
17,37,13981.0
17,38,2121.8
17,39,42183.6
17,40,8545.2
17,41,4101.0
17,42,18758.6
17,44,1072.4
17,45,8703.6
17,46,2385.4
17,47,30489.0
17,48,57433.6
